case_id,category,url,local_normalized_url,deployed_normalized_url,local_prediction,deployed_prediction,local_probability,deployed_probability,http_status,match
good-ebay,known_good,https://www.ebay.com/,https://www.ebay.com,https://www.ebay.com,LEGITIMATE,LEGITIMATE,0.10246678495326872,0.10246678455902834,200,YES
good-paypal,known_good,https://www.paypal.com/,https://www.paypal.com,https://www.paypal.com,PHISHING,PHISHING,0.5753227065089526,0.57532270489669,200,YES
good-netflix,known_good,https://www.netflix.com/,https://www.netflix.com,https://www.netflix.com,LEGITIMATE,LEGITIMATE,0.02258046924877603,0.022580470197757833,200,YES
good-spotify,known_good,https://www.spotify.com/,https://www.spotify.com,https://www.spotify.com,LEGITIMATE,LEGITIMATE,0.006844807864890277,0.006844807864890277,200,YES
good-linkedin,known_good,https://www.linkedin.com/,https://www.linkedin.com,https://www.linkedin.com,LEGITIMATE,LEGITIMATE,0.004891603807490248,0.004891603807490248,200,YES
good-adobe,known_good,https://www.adobe.com/,https://www.adobe.com,https://www.adobe.com,LEGITIMATE,LEGITIMATE,0.41995276903565,0.41995276864336156,200,YES
good-dropbox,known_good,https://www.dropbox.com/,https://www.dropbox.com,https://www.dropbox.com,LEGITIMATE,LEGITIMATE,0.22497957397335272,0.22497957397335272,200,YES
good-slack,known_good,https://slack.com/,https://slack.com,https://slack.com,LEGITIMATE,LEGITIMATE,0.0007273072016925211,0.0007273064211595655,200,YES
good-nasa,known_good,https://www.nasa.gov/,https://www.nasa.gov,https://www.nasa.gov,LEGITIMATE,LEGITIMATE,0.05206378935227663,0.05206378935227663,200,YES
good-usa,known_good,https://www.usa.gov/,https://www.usa.gov,https://www.usa.gov,LEGITIMATE,LEGITIMATE,0.01630779782652893,0.01630779782652893,200,YES
good-data-gov,known_good,https://data.gov/,https://data.gov,https://data.gov,LEGITIMATE,LEGITIMATE,0.0007290454341068325,0.0007290446535497509,200,YES
good-nih,known_good,https://www.nih.gov/,https://www.nih.gov,https://www.nih.gov,LEGITIMATE,LEGITIMATE,0.0014944832768948833,0.0014944840558844524,200,YES
good-mit,known_good,https://www.mit.edu/,https://www.mit.edu,https://www.mit.edu,LEGITIMATE,LEGITIMATE,0.002011551253163469,0.002011551253163469,200,YES
good-stanford,known_good,https://www.stanford.edu/,https://www.stanford.edu,https://www.stanford.edu,LEGITIMATE,LEGITIMATE,0.02785414658291759,0.027854147116171114,200,YES
good-harvard,known_good,https://www.harvard.edu/,https://www.harvard.edu,https://www.harvard.edu,LEGITIMATE,LEGITIMATE,0.14236196460265368,0.14236196636752918,200,YES
good-oxford,known_good,https://www.ox.ac.uk/,https://www.ox.ac.uk,https://www.ox.ac.uk,LEGITIMATE,LEGITIMATE,0.003921239546388492,0.003921240674357463,200,YES
good-cambridge,known_good,https://www.cam.ac.uk/,https://www.cam.ac.uk,https://www.cam.ac.uk,LEGITIMATE,LEGITIMATE,0.002931073879207678,0.002931075006792531,200,YES
good-coursera,known_good,https://www.coursera.org/,https://www.coursera.org,https://www.coursera.org,LEGITIMATE,LEGITIMATE,0.04023900691500314,0.04023900865002758,200,YES
good-edx,known_good,https://www.edx.org/,https://www.edx.org,https://www.edx.org,LEGITIMATE,LEGITIMATE,0.0026842040502251772,0.0026842048292147463,200,YES
good-khan,known_good,https://www.khanacademy.org/,https://www.khanacademy.org,https://www.khanacademy.org,LEGITIMATE,LEGITIMATE,0.21062360165418864,0.21062360165418864,200,YES
good-w3c,known_good,https://www.w3.org/,https://www.w3.org,https://www.w3.org,LEGITIMATE,LEGITIMATE,0.0011600375970552553,0.0011600371834393538,200,YES
good-ietf,known_good,https://www.ietf.org/,https://www.ietf.org,https://www.ietf.org,LEGITIMATE,LEGITIMATE,0.009213492635749027,0.00921349224150865,200,YES
good-archive,known_good,https://archive.org/,https://archive.org,https://archive.org,LEGITIMATE,LEGITIMATE,0.0007371561157064094,0.000737155723181308,200,YES
hard-google-accounts,hard_legitimate,https://accounts.google.com/,https://accounts.google.com,https://accounts.google.com,LEGITIMATE,LEGITIMATE,0.03116212791779329,0.03116213114403672,200,YES
hard-github-login,hard_legitimate,https://github.com/login,https://github.com/login,https://github.com/login,PHISHING,PHISHING,0.9999287026426801,0.9999287026278776,200,YES
hard-microsoft-login,hard_legitimate,https://login.microsoftonline.com/,https://login.microsoftonline.com,https://login.microsoftonline.com,LEGITIMATE,LEGITIMATE,0.049949793650522434,0.049949793514076156,200,YES
hard-apple-account,hard_legitimate,https://account.apple.com/,https://account.apple.com,https://account.apple.com,LEGITIMATE,LEGITIMATE,0.0031846440397752013,0.0031846445948822437,200,YES
hard-paypal-secure,hard_legitimate,https://www.paypal.com/signin,https://www.paypal.com/signin,https://www.paypal.com/signin,PHISHING,PHISHING,0.9999728365117962,0.999972836496998,200,YES
hard-adobe-account,hard_legitimate,https://account.adobe.com/,https://account.adobe.com,https://account.adobe.com,LEGITIMATE,LEGITIMATE,0.006532688010457049,0.006532688697955169,200,YES
hard-amazon-signin,hard_legitimate,https://www.amazon.com/ap/signin,https://www.amazon.com/ap/signin,https://www.amazon.com/ap/signin,PHISHING,PHISHING,0.9999729385496297,0.9999729385644199,200,YES
hard-dropbox-login,hard_legitimate,https://www.dropbox.com/login,https://www.dropbox.com/login,https://www.dropbox.com/login,PHISHING,PHISHING,0.9999726805803948,0.9999726805655965,200,YES
hard-linkedin-login,hard_legitimate,https://www.linkedin.com/login,https://www.linkedin.com/login,https://www.linkedin.com/login,PHISHING,PHISHING,0.9999716805848039,0.9999716805700056,200,YES
hard-cloudflare-login,hard_legitimate,https://dash.cloudflare.com/login,https://dash.cloudflare.com/login,https://dash.cloudflare.com/login,PHISHING,PHISHING,0.9999695626353999,0.999969562620603,200,YES
variant-google-noslash,root_variant,https://www.google.com,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
variant-google-space,root_variant,  https://www.google.com/  ,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
variant-google-case,root_variant,HTTPS://WWW.GOOGLE.COM/,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
variant-google-schemeless,root_variant,www.google.com,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
variant-google-schemeless-slash,root_variant,www.google.com/,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
variant-github-noslash,root_variant,https://github.com,https://github.com,https://github.com,LEGITIMATE,LEGITIMATE,0.0007306479157687992,0.0007306471288833527,200,YES
variant-github-case,root_variant,HTTPS://GITHUB.COM/,https://github.com,https://github.com,LEGITIMATE,LEGITIMATE,0.0007306479157687992,0.0007306471288833527,200,YES
variant-github-schemeless,root_variant,github.com/,https://github.com,https://github.com,LEGITIMATE,LEGITIMATE,0.0007306479157687992,0.0007306471288833527,200,YES
variant-openai-noslash,root_variant,https://openai.com,https://openai.com,https://openai.com,LEGITIMATE,LEGITIMATE,0.000730011823686938,0.000730011823686938,200,YES
variant-openai-space,root_variant, https://OPENAI.COM/ ,https://openai.com,https://openai.com,LEGITIMATE,LEGITIMATE,0.000730011823686938,0.000730011823686938,200,YES
variant-openai-schemeless,root_variant,openai.com,https://openai.com,https://openai.com,LEGITIMATE,LEGITIMATE,0.000730011823686938,0.000730011823686938,200,YES
variant-wikipedia-noslash,root_variant,https://www.wikipedia.org,https://www.wikipedia.org,https://www.wikipedia.org,LEGITIMATE,LEGITIMATE,0.04585030202638212,0.045850302671754814,200,YES
variant-wikipedia-case,root_variant,HTTPS://WWW.WIKIPEDIA.ORG/,https://www.wikipedia.org,https://www.wikipedia.org,LEGITIMATE,LEGITIMATE,0.04585030202638212,0.045850302671754814,200,YES
variant-wikipedia-schemeless,root_variant,www.wikipedia.org/,https://www.wikipedia.org,https://www.wikipedia.org,LEGITIMATE,LEGITIMATE,0.04585030202638212,0.045850302671754814,200,YES
variant-microsoft-noslash,root_variant,https://www.microsoft.com,https://www.microsoft.com,https://www.microsoft.com,LEGITIMATE,LEGITIMATE,0.031858187910427126,0.03185819199566801,200,YES
variant-microsoft-case,root_variant,HTTPS://WWW.MICROSOFT.COM/,https://www.microsoft.com,https://www.microsoft.com,LEGITIMATE,LEGITIMATE,0.031858187910427126,0.03185819199566801,200,YES
variant-microsoft-schemeless,root_variant,www.microsoft.com,https://www.microsoft.com,https://www.microsoft.com,LEGITIMATE,LEGITIMATE,0.031858187910427126,0.03185819199566801,200,YES
project-production,project_url,https://phishing-ml-url-detector-seven.vercel.app/,https://phishing-ml-url-detector-seven.vercel.app,https://phishing-ml-url-detector-seven.vercel.app,PHISHING,PHISHING,0.9964899869137908,0.9964899868662391,200,YES
project-github,project_url,https://github.com/SunidhiDeekonda/phishing-ML-URL-detector,https://github.com/SunidhiDeekonda/phishing-ML-URL-detector,https://github.com/SunidhiDeekonda/phishing-ML-URL-detector,PHISHING,PHISHING,0.9999696040801196,0.9999696040801196,200,YES
reserved-example-root,reserved_benign,https://example.com/,https://example.com,https://example.com,LEGITIMATE,LEGITIMATE,0.0007568639091945545,0.0007568635185007649,200,YES
reserved-example-docs,reserved_benign,https://example.com/docs/getting-started?lang=en#intro,https://example.com/docs/getting-started?lang=en#intro,https://example.com/docs/getting-started?lang=en#intro,PHISHING,PHISHING,0.9999725638326407,0.9999725638326407,200,YES
reserved-org-account,reserved_benign,https://example.org/account/preferences,https://example.org/account/preferences,https://example.org/account/preferences,PHISHING,PHISHING,0.9999572821055221,0.9999572821055221,200,YES
reserved-net-login,reserved_benign,https://example.net/login/help,https://example.net/login/help,https://example.net/login/help,PHISHING,PHISHING,0.9999665514938239,0.9999665514938239,200,YES
reserved-default-port,reserved_benign,https://example.com:443/,https://example.com,https://example.com,LEGITIMATE,LEGITIMATE,0.0007568639091945545,0.0007568635185007649,200,YES
reserved-percent,reserved_benign,https://example.org/docs/My%20Guide?Topic=Security#Part-1,https://example.org/docs/My%20Guide?Topic=Security#Part-1,https://example.org/docs/My%20Guide?Topic=Security#Part-1,PHISHING,PHISHING,0.9999727072350513,0.9999727072350513,200,YES
synthetic-base-1,synthetic_phishing,http://secure-account-login-example.xyz/verify,http://secure-account-login-example.xyz/verify,http://secure-account-login-example.xyz/verify,PHISHING,PHISHING,0.9999637257101126,0.9999637257101126,200,YES
synthetic-base-2,synthetic_phishing,https://account-confirm-example.top/login?verify=password,https://account-confirm-example.top/login?verify=password,https://account-confirm-example.top/login?verify=password,PHISHING,PHISHING,0.9999648778282597,0.9999648778282597,200,YES
synthetic-path,synthetic_phishing,http://portal-example.xyz/help/secure/account/verify,http://portal-example.xyz/help/secure/account/verify,http://portal-example.xyz/help/secure/account/verify,PHISHING,PHISHING,0.9999730141055072,0.9999730141055072,200,YES
synthetic-query,synthetic_phishing,http://example-secure-login.xyz/?account=verify&confirm=password,http://example-secure-login.xyz?account=verify&confirm=password,http://example-secure-login.xyz?account=verify&confirm=password,PHISHING,PHISHING,0.999376838570845,0.9993768389057155,200,YES
synthetic-subdomain,synthetic_phishing,http://auth-42.secure-account-example.xyz/login,http://auth-42.secure-account-example.xyz/login,http://auth-42.secure-account-example.xyz/login,PHISHING,PHISHING,0.9999729956712068,0.9999729956564047,200,YES
synthetic-split,synthetic_phishing,http://example.xyz/account/ve-rify/lo-gin,http://example.xyz/account/ve-rify/lo-gin,http://example.xyz/account/ve-rify/lo-gin,PHISHING,PHISHING,0.9999723152408728,0.9999723152408728,200,YES
synthetic-encoded,synthetic_phishing,http://secure-example.xyz/%76erify/account,http://secure-example.xyz/%76erify/account,http://secure-example.xyz/%76erify/account,PHISHING,PHISHING,0.9999730128460678,0.9999730128460678,200,YES
synthetic-long,synthetic_phishing,http://secure-account-example.xyz/resource/a8f4k2m9n1p7q3r5s6/login/verify,http://secure-account-example.xyz/resource/a8f4k2m9n1p7q3r5s6/login/verify,http://secure-account-example.xyz/resource/a8f4k2m9n1p7q3r5s6/login/verify,PHISHING,PHISHING,0.9999669164226889,0.9999669164226889,200,YES
synthetic-at,synthetic_phishing,http://example.com@secure-login-example.xyz/verify,http://example.com@secure-login-example.xyz/verify,http://example.com@secure-login-example.xyz/verify,PHISHING,PHISHING,0.9999729097275076,0.9999729097275076,200,YES
synthetic-ip,synthetic_phishing,http://192.0.2.44/login/verify/account,http://192.0.2.44/login/verify/account,http://192.0.2.44/login/verify/account,PHISHING,PHISHING,0.9999730111277947,0.9999730111277947,200,YES
synthetic-fragment,synthetic_phishing,http://confirm-account-example.xyz/login#verify-password,http://confirm-account-example.xyz/login#verify-password,http://confirm-account-example.xyz/login#verify-password,PHISHING,PHISHING,0.9999650986959187,0.9999650986959187,200,YES
synthetic-noise,synthetic_phishing,http://secure-example.xyz//account///login?session=r042&verify=1,http://secure-example.xyz//account///login?session=r042&verify=1,http://secure-example.xyz//account///login?session=r042&verify=1,PHISHING,PHISHING,0.9999729626534707,0.9999729626534707,200,YES
