case_id,category,url,expected_label,equivalence_group,exact_url_seen_in_dataset,registered_domain,registered_domain_seen_in_train,registered_domain_seen_in_validation,registered_domain_seen_in_test,normalized_url,prediction,probability,cnn_probability,lightgbm_probability,model_version,result
good-dropbox,known_good,https://www.dropbox.com/,LEGITIMATE,,NO,dropbox.com,YES,NO,NO,https://www.dropbox.com,LEGITIMATE,0.22497957397335272,0.21282457007230693,0.45592464809322286,url-ensemble-original-onnx-1.0,PASS
good-slack,known_good,https://slack.com/,LEGITIMATE,,NO,slack.com,NO,NO,NO,https://slack.com,LEGITIMATE,0.0007273072016925211,6.007537931777036e-06,0.014432000813146658,url-ensemble-original-onnx-1.0,PASS
good-nasa,known_good,https://www.nasa.gov/,LEGITIMATE,,NO,nasa.gov,NO,NO,NO,https://www.nasa.gov,LEGITIMATE,0.05206378935227663,0.054037398914481366,0.014565207670386748,url-ensemble-original-onnx-1.0,PASS
good-usa,known_good,https://www.usa.gov/,LEGITIMATE,,NO,usa.gov,YES,NO,NO,https://www.usa.gov,LEGITIMATE,0.01630779782652893,0.016399509367011268,0.014565278557364527,url-ensemble-original-onnx-1.0,PASS
good-data-gov,known_good,https://data.gov/,LEGITIMATE,,NO,data.gov,NO,NO,NO,https://data.gov,LEGITIMATE,0.0007290454341068325,7.813429086221596e-06,0.014432453529498438,url-ensemble-original-onnx-1.0,PASS
good-nih,known_good,https://www.nih.gov/,LEGITIMATE,,NO,nih.gov,NO,NO,NO,https://www.nih.gov,LEGITIMATE,0.0014944832768948833,0.0008150863496879695,0.01440302489382625,url-ensemble-original-onnx-1.0,PASS
good-mit,known_good,https://www.mit.edu/,LEGITIMATE,,NO,mit.edu,NO,NO,NO,https://www.mit.edu,LEGITIMATE,0.002011551253163469,0.0013508287634686762,0.014565278557364527,url-ensemble-original-onnx-1.0,PASS
good-stanford,known_good,https://www.stanford.edu/,LEGITIMATE,,NO,stanford.edu,NO,NO,NO,https://www.stanford.edu,LEGITIMATE,0.02785414658291759,0.02827656535542497,0.01982818990527736,url-ensemble-original-onnx-1.0,PASS
good-harvard,known_good,https://www.harvard.edu/,LEGITIMATE,,NO,harvard.edu,NO,NO,NO,https://www.harvard.edu,LEGITIMATE,0.14236196460265368,0.14187360819951825,0.15164073626222668,url-ensemble-original-onnx-1.0,PASS
good-oxford,known_good,https://www.ox.ac.uk/,LEGITIMATE,,NO,ox.ac.uk,NO,NO,NO,https://www.ox.ac.uk,LEGITIMATE,0.003921239546388492,0.00186681681746577,0.04295527139592021,url-ensemble-original-onnx-1.0,PASS
good-cambridge,known_good,https://www.cam.ac.uk/,LEGITIMATE,,NO,cam.ac.uk,NO,NO,NO,https://www.cam.ac.uk,LEGITIMATE,0.002931073879207678,0.0008253432313013133,0.04293995618942861,url-ensemble-original-onnx-1.0,PASS
good-coursera,known_good,https://www.coursera.org/,LEGITIMATE,,NO,coursera.org,NO,NO,NO,https://www.coursera.org,LEGITIMATE,0.04023900691500314,0.03878649284637934,0.0678367742188553,url-ensemble-original-onnx-1.0,PASS
good-edx,known_good,https://www.edx.org/,LEGITIMATE,,NO,edx.org,NO,NO,NO,https://www.edx.org,LEGITIMATE,0.0026842040502251772,0.002067424005825121,0.01440302489382625,url-ensemble-original-onnx-1.0,PASS
good-khan,known_good,https://www.khanacademy.org/,LEGITIMATE,,NO,khanacademy.org,NO,NO,NO,https://www.khanacademy.org,LEGITIMATE,0.21062360165418864,0.18950790784287413,0.611821784069164,url-ensemble-original-onnx-1.0,PASS
good-w3c,known_good,https://www.w3.org/,LEGITIMATE,,NO,w3.org,NO,NO,NO,https://www.w3.org,LEGITIMATE,0.0011600375970552553,0.00041535120216113137,0.01530907910004361,url-ensemble-original-onnx-1.0,PASS
good-ietf,known_good,https://www.ietf.org/,LEGITIMATE,,NO,ietf.org,NO,NO,NO,https://www.ietf.org,LEGITIMATE,0.009213492635749027,0.008930983936368757,0.01458115792397415,url-ensemble-original-onnx-1.0,PASS
good-archive,known_good,https://archive.org/,LEGITIMATE,,NO,archive.org,NO,NO,NO,https://archive.org,LEGITIMATE,0.0007371561157064094,1.191332606106197e-05,0.014516769118968008,url-ensemble-original-onnx-1.0,PASS
hard-google-accounts,hard_legitimate,https://accounts.google.com/,LEGITIMATE,,NO,google.com,YES,NO,NO,https://accounts.google.com,LEGITIMATE,0.03116212791779329,7.669155969123462e-05,0.6217854187217323,url-ensemble-original-onnx-1.0,PASS
hard-github-login,hard_legitimate,https://github.com/login,LEGITIMATE,,NO,github.com,NO,NO,NO,https://github.com/login,PHISHING,0.9999287026426801,0.9999533598183578,0.9994602163048053,url-ensemble-original-onnx-1.0,FAIL
hard-microsoft-login,hard_legitimate,https://login.microsoftonline.com/,LEGITIMATE,,NO,microsoftonline.com,NO,NO,NO,https://login.microsoftonline.com,LEGITIMATE,0.049949793650522434,0.0010157837751894312,0.9796959812818495,url-ensemble-original-onnx-1.0,PASS
hard-apple-account,hard_legitimate,https://account.apple.com/,LEGITIMATE,,NO,apple.com,NO,NO,NO,https://account.apple.com,LEGITIMATE,0.0031846440397752013,0.0022649793331381745,0.020658273465878712,url-ensemble-original-onnx-1.0,PASS
hard-paypal-secure,hard_legitimate,https://www.paypal.com/signin,LEGITIMATE,,NO,paypal.com,YES,NO,NO,https://www.paypal.com/signin,PHISHING,0.9999728365117962,0.99999980837472,0.9994603711162443,url-ensemble-original-onnx-1.0,FAIL
hard-adobe-account,hard_legitimate,https://account.adobe.com/,LEGITIMATE,,NO,adobe.com,YES,NO,NO,https://account.adobe.com,LEGITIMATE,0.006532688010457049,0.0055229309404363856,0.02571807234084967,url-ensemble-original-onnx-1.0,PASS
hard-amazon-signin,hard_legitimate,https://www.amazon.com/ap/signin,LEGITIMATE,,NO,amazon.com,NO,NO,NO,https://www.amazon.com/ap/signin,PHISHING,0.9999729385496297,0.9999999006928023,0.999460657829349,url-ensemble-original-onnx-1.0,FAIL
hard-dropbox-login,hard_legitimate,https://www.dropbox.com/login,LEGITIMATE,,NO,dropbox.com,YES,NO,NO,https://www.dropbox.com/login,PHISHING,0.9999726805803948,0.9999996442364028,0.9994603711162443,url-ensemble-original-onnx-1.0,FAIL
hard-linkedin-login,hard_legitimate,https://www.linkedin.com/login,LEGITIMATE,,NO,linkedin.com,NO,NO,NO,https://www.linkedin.com/login,PHISHING,0.9999716805848039,0.9999985916094649,0.9994603711162443,url-ensemble-original-onnx-1.0,FAIL
hard-cloudflare-login,hard_legitimate,https://dash.cloudflare.com/login,LEGITIMATE,,NO,cloudflare.com,YES,NO,NO,https://dash.cloudflare.com/login,PHISHING,0.9999695626353999,0.999996359774698,0.9994604169887383,url-ensemble-original-onnx-1.0,FAIL
variant-google-noslash,root_variant,https://www.google.com,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
variant-google-space,root_variant,  https://www.google.com/  ,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
variant-google-case,root_variant,HTTPS://WWW.GOOGLE.COM/,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
variant-google-schemeless,root_variant,www.google.com,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
variant-google-schemeless-slash,root_variant,www.google.com/,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
variant-github-noslash,root_variant,https://github.com,LEGITIMATE,github-root,NO,github.com,NO,NO,NO,https://github.com,LEGITIMATE,0.0007306479157687992,3.2494856885193376e-06,0.014551218087294114,url-ensemble-original-onnx-1.0,PASS
variant-github-case,root_variant,HTTPS://GITHUB.COM/,LEGITIMATE,github-root,NO,github.com,NO,NO,NO,https://github.com,LEGITIMATE,0.0007306479157687992,3.2494856885193376e-06,0.014551218087294114,url-ensemble-original-onnx-1.0,PASS
variant-github-schemeless,root_variant,github.com/,LEGITIMATE,github-root,NO,github.com,NO,NO,NO,https://github.com,LEGITIMATE,0.0007306479157687992,3.2494856885193376e-06,0.014551218087294114,url-ensemble-original-onnx-1.0,PASS
variant-openai-noslash,root_variant,https://openai.com,LEGITIMATE,openai-root,NO,openai.com,NO,NO,NO,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,url-ensemble-original-onnx-1.0,PASS
variant-openai-space,root_variant, https://OPENAI.COM/ ,LEGITIMATE,openai-root,NO,openai.com,NO,NO,NO,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,url-ensemble-original-onnx-1.0,PASS
variant-openai-schemeless,root_variant,openai.com,LEGITIMATE,openai-root,NO,openai.com,NO,NO,NO,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,url-ensemble-original-onnx-1.0,PASS
variant-wikipedia-noslash,root_variant,https://www.wikipedia.org,LEGITIMATE,wikipedia-root,NO,wikipedia.org,NO,NO,NO,https://www.wikipedia.org,LEGITIMATE,0.04585030202638212,0.04699493565952379,0.024102262996690393,url-ensemble-original-onnx-1.0,PASS
variant-wikipedia-case,root_variant,HTTPS://WWW.WIKIPEDIA.ORG/,LEGITIMATE,wikipedia-root,NO,wikipedia.org,NO,NO,NO,https://www.wikipedia.org,LEGITIMATE,0.04585030202638212,0.04699493565952379,0.024102262996690393,url-ensemble-original-onnx-1.0,PASS
variant-wikipedia-schemeless,root_variant,www.wikipedia.org/,LEGITIMATE,wikipedia-root,NO,wikipedia.org,NO,NO,NO,https://www.wikipedia.org,LEGITIMATE,0.04585030202638212,0.04699493565952379,0.024102262996690393,url-ensemble-original-onnx-1.0,PASS
variant-microsoft-noslash,root_variant,https://www.microsoft.com,LEGITIMATE,microsoft-root,NO,microsoft.com,NO,NO,NO,https://www.microsoft.com,LEGITIMATE,0.031858187910427126,0.027653430334443348,0.11174858185411887,url-ensemble-original-onnx-1.0,PASS
variant-microsoft-case,root_variant,HTTPS://WWW.MICROSOFT.COM/,LEGITIMATE,microsoft-root,NO,microsoft.com,NO,NO,NO,https://www.microsoft.com,LEGITIMATE,0.031858187910427126,0.027653430334443348,0.11174858185411887,url-ensemble-original-onnx-1.0,PASS
variant-microsoft-schemeless,root_variant,www.microsoft.com,LEGITIMATE,microsoft-root,NO,microsoft.com,NO,NO,NO,https://www.microsoft.com,LEGITIMATE,0.031858187910427126,0.027653430334443348,0.11174858185411887,url-ensemble-original-onnx-1.0,PASS
project-production,project_url,https://phishing-ml-url-detector-seven.vercel.app/,LEGITIMATE,,NO,vercel.app,YES,NO,NO,https://phishing-ml-url-detector-seven.vercel.app,PHISHING,0.9964899869137908,0.9964883148245045,0.9965217566102308,url-ensemble-original-onnx-1.0,FAIL
project-github,project_url,https://github.com/SunidhiDeekonda/phishing-ML-URL-detector,LEGITIMATE,,NO,github.com,NO,NO,NO,https://github.com/SunidhiDeekonda/phishing-ML-URL-detector,PHISHING,0.9999696040801196,0.9999998700145964,0.9993945513250587,url-ensemble-original-onnx-1.0,FAIL
reserved-example-root,reserved_benign,https://example.com/,LEGITIMATE,,NO,example.com,NO,NO,NO,https://example.com,LEGITIMATE,0.0007568639091945545,3.6276013242503254e-05,0.014448033932283527,url-ensemble-original-onnx-1.0,PASS
reserved-example-docs,reserved_benign,https://example.com/docs/getting-started?lang=en#intro,LEGITIMATE,,NO,example.com,NO,NO,NO,https://example.com/docs/getting-started?lang=en#intro,PHISHING,0.9999725638326407,0.9999995248646637,0.9994603042242036,url-ensemble-original-onnx-1.0,FAIL
reserved-org-account,reserved_benign,https://example.org/account/preferences,LEGITIMATE,,NO,example.org,YES,NO,NO,https://example.org/account/preferences,PHISHING,0.9999572821055221,0.9999834379637079,0.9994603207999949,url-ensemble-original-onnx-1.0,FAIL
reserved-net-login,reserved_benign,https://example.net/login/help,LEGITIMATE,,NO,example.net,NO,NO,NO,https://example.net/login/help,PHISHING,0.9999665514938239,0.9999931997170983,0.9994602352516093,url-ensemble-original-onnx-1.0,FAIL
reserved-default-port,reserved_benign,https://example.com:443/,LEGITIMATE,,NO,example.com,NO,NO,NO,https://example.com,LEGITIMATE,0.0007568639091945545,3.6276013242503254e-05,0.014448033932283527,url-ensemble-original-onnx-1.0,PASS
reserved-percent,reserved_benign,https://example.org/docs/My%20Guide?Topic=Security#Part-1,LEGITIMATE,,NO,example.org,YES,NO,NO,https://example.org/docs/My%20Guide?Topic=Security#Part-1,PHISHING,0.9999727072350513,0.9999996758145696,0.9994603042242036,url-ensemble-original-onnx-1.0,FAIL
synthetic-base-1,synthetic_phishing,http://secure-account-login-example.xyz/verify,PHISHING,,NO,secure-account-login-example.xyz,NO,NO,NO,http://secure-account-login-example.xyz/verify,PHISHING,0.9999637257101126,0.9999999003024136,0.9992764084563964,url-ensemble-original-onnx-1.0,PASS
synthetic-base-2,synthetic_phishing,https://account-confirm-example.top/login?verify=password,PHISHING,,NO,account-confirm-example.top,NO,NO,NO,https://account-confirm-example.top/login?verify=password,PHISHING,0.9999648778282597,0.9999991419545445,0.9993138594288488,url-ensemble-original-onnx-1.0,PASS
synthetic-path,synthetic_phishing,http://portal-example.xyz/help/secure/account/verify,PHISHING,,NO,portal-example.xyz,NO,NO,NO,http://portal-example.xyz/help/secure/account/verify,PHISHING,0.9999730141055072,0.9999999988361021,0.9994603042242036,url-ensemble-original-onnx-1.0,PASS
synthetic-query,synthetic_phishing,http://example-secure-login.xyz/?account=verify&confirm=password,PHISHING,,NO,example-secure-login.xyz,NO,NO,NO,http://example-secure-login.xyz?account=verify&confirm=password,PHISHING,0.999376838570845,0.9999944325559306,0.98764255285422,url-ensemble-original-onnx-1.0,PASS
synthetic-subdomain,synthetic_phishing,http://auth-42.secure-account-example.xyz/login,PHISHING,,NO,secure-account-example.xyz,NO,NO,NO,http://auth-42.secure-account-example.xyz/login,PHISHING,0.9999729956712068,0.9999999831863601,0.9994602328832952,url-ensemble-original-onnx-1.0,PASS
synthetic-split,synthetic_phishing,http://example.xyz/account/ve-rify/lo-gin,PHISHING,,NO,example.xyz,NO,NO,NO,http://example.xyz/account/ve-rify/lo-gin,PHISHING,0.9999723152408728,0.999999995836935,0.999446383915692,url-ensemble-original-onnx-1.0,PASS
synthetic-encoded,synthetic_phishing,http://secure-example.xyz/%76erify/account,PHISHING,,NO,secure-example.xyz,NO,NO,NO,http://secure-example.xyz/%76erify/account,PHISHING,0.9999730128460678,0.9999999975103764,0.9994603042242036,url-ensemble-original-onnx-1.0,PASS
synthetic-long,synthetic_phishing,http://secure-account-example.xyz/resource/a8f4k2m9n1p7q3r5s6/login/verify,PHISHING,,NO,secure-account-example.xyz,NO,NO,NO,http://secure-account-example.xyz/resource/a8f4k2m9n1p7q3r5s6/login/verify,PHISHING,0.9999669164226889,0.999999998921252,0.9993383489499905,url-ensemble-original-onnx-1.0,PASS
synthetic-at,synthetic_phishing,http://example.com@secure-login-example.xyz/verify,PHISHING,,NO,secure-login-example.xyz,NO,NO,NO,http://example.com@secure-login-example.xyz/verify,PHISHING,0.9999729097275076,0.9999998925634983,0.9994602358436864,url-ensemble-original-onnx-1.0,PASS
synthetic-ip,synthetic_phishing,http://192.0.2.44/login/verify/account,PHISHING,,NO,192.0.2.44,NO,NO,NO,http://192.0.2.44/login/verify/account,PHISHING,0.9999730111277947,0.9999999994097095,0.9994602337714144,url-ensemble-original-onnx-1.0,PASS
synthetic-fragment,synthetic_phishing,http://confirm-account-example.xyz/login#verify-password,PHISHING,,NO,confirm-account-example.xyz,NO,NO,NO,http://confirm-account-example.xyz/login#verify-password,PHISHING,0.9999650986959187,0.9999999863255487,0.9993022337329505,url-ensemble-original-onnx-1.0,PASS
synthetic-noise,synthetic_phishing,http://secure-example.xyz//account///login?session=r042&verify=1,PHISHING,,NO,secure-example.xyz,NO,NO,NO,http://secure-example.xyz//account///login?session=r042&verify=1,PHISHING,0.9999729626534707,0.9999999446760637,0.9994603042242036,url-ensemble-original-onnx-1.0,PASS
